recipe,difficulty,page,minutes,section,video_title,video_date,video_src,video_thumbnail
A Little Bit Of Everything Bagels,4.285714286,249,480,Breakfast and Brunch,,,,
All Allium Deep-Dish Quiche,4.428571429,309,204,Breads and Savory Baking,How To Make The Best Quiche With Claire Saffitz | Dessert Person,"Apr 7, 2022",https://www.youtube.com/watch?v=B1kVIM8fOSo,https://i.ytimg.com/vi/B1kVIM8fOSo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD48DfXkDsP3Bd3R2HsotXa5xcwsg
All Coconut Cake,4.142857143,201,240,Layer Cakes and Fancy Desserts,The Perfect Coconut Cupcakes With Claire Saffitz | Dessert Person,"Jun 30, 2022",https://www.youtube.com/watch?v=gvZxXZVH0sQ,https://i.ytimg.com/vi/gvZxXZVH0sQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6DzU43PteGWpFfMbJk1frQ5k66Q
Almond Butter Banana Bread,1.571428571,38,92,Loaf Cakes and Single-Layer Cakes,How To Make The Best Banana Bread | Dessert Person,"Jun 30, 2021",https://www.youtube.com/watch?v=CilyToUevz0,https://i.ytimg.com/vi/CilyToUevz0/hqdefault.jpg?s…AFwAcABBg==&rs=AOn4CLCqEL-HnX10TTPpMVpDWpYthEm30w
Apple and Concord Grape Crumble Pie,3.25,97,195,Layer Cakes and Fancy Desserts,,,,
Apple Tart,3.75,91,134,Pies and Tarts,Claire Saffitz Makes an Apple Tart | Dessert Person,"Oct 7, 2021",https://www.youtube.com/watch?v=0D3DPepWaqE,"https://i.ytimg.com/vi/0D3DPepWaqE/hqdefault.jpg?s…AFwAcABBg==&rs=AOn4CLDKozeRfjytOiEM2UPXvXdjsy5Jug
"
Apricot And Cream Brioche Tart,3.05,102,114,Pies and Tarts,,,,
Aunt Rose's Mondel Bread,2.714285714,147,461,Bars and Cookies,Claire Saffitz Makes Aunt Rose's Mondel Bread | Dessert Person,"Jan 20, 2022",https://www.youtube.com/watch?v=PWKCid9UBMs,https://i.ytimg.com/vi/PWKCid9UBMs/hqdefault.jpg?s…AFwAcABBg==&rs=AOn4CLDWJbyufl3TbH-997pdMN0FULGAaA
Babkallah,3.375,235,256,Breakfast and Brunch,,,,
Black Sesame Paris-Brest,4.714285714,203,182,Layer Cakes and Fancy Desserts,,,,
Blackberry Caramel Tart,3.75,99,184,Pies and Tarts,The Best Blackberry Caramel Tart With Claire Saffitz | Dessert Person,"Jun 16, 2022",https://www.youtube.com/watch?v=LzkEq7FpqpU,https://i.ytimg.com/vi/LzkEq7FpqpU/hqdefault.jpg?s…AFwAcABBg==&rs=AOn4CLCymo1pWmbCgKlsPX_lZ5GjfVN7wg
Blood Orange And Olive Oil Upside-Down Cake,3.625,67,90,Loaf Cakes and Single-Layer Cakes,How To Make Blood Orange Olive Oil Cake With Claire Saffitz (1 Mil Special) | Dessert Person,"May 12, 2022",https://www.youtube.com/watch?v=KafvltlhLR8,https://i.ytimg.com/vi/KafvltlhLR8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoQ5wV8lMdhAZ_4StC6Jyd2nliNw
Bluberry Slab Pie,4.428571429,119,255,Pies and Tarts,The Most Delicious Blueberry Pie With Claire Saffitz | Dessert Person,"Aug 11, 2022",https://www.youtube.com/watch?v=GEgheE1rdXo,https://i.ytimg.com/vi/GEgheE1rdXo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyCRtyfLV5lngYtXtlpx02IpOHBw
